そだぞ	私は美少女戦士前原だよ
るんるんより大きいよ️	私185だよ 
速報川井風邪をひきました。	私が看病するわよ 
兩人還是會互相替對方著想	私もそう思います双傑最高   
今は好んで食べますつまり年取った…	その理論で言うと私も…
笑っちゃったwww	私も笑ったwww今回多いんだね
この規格なら参加者少ないだろうねー	そりゃ私も車両やレールが無いww
お店で見たことないです️	私も2は初めて見ました
きれやすい年頃	私もキレとくか…
裏表もないただのO型だった・・・	私も裏表なしのAB型でしたわ…
俺らもあれになるしかない	私たちもたすからない……ってコト  
寝坊助	真の寝坊助は私ではない‥ 
おはよう️ちいかわ流行ってるね	私も友達の影響で好きになりました
こんな時にトイレ行きたくなった 	実は私もでした
んね着いてける自信ない	私も 
小指ヒビ入りました	私もです
探したいけど見つかんない気がする	私リア友だよWWWWWWWWWWWW
たくさんからむー 	私も 
今度ユニコーンお誘いしますね 小声 	私だけ1000ハマりする未来が見えた
即保存したよ	私も見つけた瞬間即保存したww
ゆいかすき	私は愛してる
みっきーへの愛は負けないんで   	え  私も負けないですけど
俺も	私のはただの不摂生からの腰痛
やられましたね 	私が寝坊したことへの当てつけかも
狂風のコアの分際でッ	空を飛んでる間、私たちは無力
まだ 11時半のバスで行く 	まじか私11時半から入場なのよ
  ベスベス…じゅるり	私はBessで魚の方はBassだからな
とわくんだいすき	私も大好きー さいっこうよな
グーチョコランタンも好きでした。	私もギリギリ覚えてますね
たまに関東にいるんで俺は笑笑	私はあまり関東にいません笑
ごめんなさい	私こそごめんなさい
B1スタートで泣いてるB4くらいなのに	私のランクと入れ替えませんか 
なくなったww	大丈夫私はーだからw
お声かければよかったです	私でしたか
腕立て伏せします️	おkおk私は内職がんばるでー 
この店だけずっと行列やわ笑	それなwww私が先陣切って行く
おめでとう ずっと好き  	ありがと  私もずっと好き  
もうそれは牛になってるよ	牛って美味しいよね私は子羊が好き
あらいくつですの  	私15ですの 
ぜひ 繋がりたいです 	私で良ければ仲良くしてください
いや、量をへらして完食していましたよ。	残りは私が頂ましょう
グッズさんへ私のグッズはどこですか。	私はいつ発送されるのですか
ANAですか 	はい私は青派なんです
きっとすぺちゃんも細い 謎の自信	私は太いです。ガチで  
ナイスです️️️️️	私ディープのが相性いいかも
おはようございます	おはよう。私も支度しようっと…
ダメなん www	私より先は許せんかな
おれっち     リトラ君言ってるのw	やるなら私かなw
おっけ、三角関係把握	このぺんぎんとあひる私とにやたんね
集中力なさすぎて泣ける	私ぐらいないと
すぐ機嫌がなおる人すきです笑	私、チョロ子なんでねすぐ直ります
私動物の形描けないのよ	私も描けないからこれで完結だね
バンド組んでNOROSHIコピーしたいな	その時は私パーカッションで
かなあ かいてみ 	私はもっとへたくそです
環境破壊も心配です	私もそう思います
疑ったんか、、メロス的展開やん	私の頬を殴ってくれ友よ    
あお   坂にいるよ  	私もいる、どこ
自分にはそんなこと出来ねぇっす	私も無理っす
ん 代わりに行ってあげるね 	おふろさん行くなら私も行く   
甘えたい症候群	私も人に甘えてみたいな
やった 	私入場時間はやいけど大丈夫 笑笑
しょうさん監修で頑張ります	そしたらぜひ私とも併せを…
おくたんつよ	私が使うと弱いんじゃー
ありがとう会いたいな	ねっねっ️私も会いたいよ
繋がれるの繋がりたい 	私は全部いける  
にゃん把握 	私はなんて呼んだらいいかな 
ねてたおはよう	私も今起きたおはよ 
絶対嘘じゃんはるちゃん怖いもん	私怖くないよ天使って呼ばれてる
26日は土曜日でした。	私も見ます
おはよ️ °	おはよう、今起きたの なら私と同じだ
最高です。だいすきです。	私もです 私はお隣空いてますよ
基本的にゴムは嫌いです。	私もです。
何て呼んだらいい️	私のことはすりぃで
 MERISじゃなかった… 	私も一回それで検索しました…笑
しらすごはんおいしいよね 	美味しいけど私はうまくないよ   
えぇ よく寝れたわ みのりちゃんは 	私も寝れました
いまのり終わったw	早かったのねw私は今から地蔵します
うわー、多分載せる	載せなくてもいいけど私には聞かせてね 
すずたんビックビックらぶ	待って私英語と日本語ごちゃまぜで草
俺も大好きだよ 	私も大好き   
ヘイナアナアナァッ	練習始めてる 私もするー
鍵垢隠居してるいつも𖦹̫𖦹	私もそう‍
なんやろ、癒されたんだけどもw	それは私の配信かな
今スタンバってまーす️	私もーワクワク️
データみたよ。いいとこ取りのルートだね	私考案ではないですが。
可愛くて好きだから	ありがとう 私も好き 
おk マリちゃんて呼ぶね    	了解 私はなんて呼んだら良い  
シャキーン、、、、終わるのか、、、、	まじ 私のトラウマ…
もうすぐ卒業式	おぉー 私5年生️
自発頑張るね тт 	えれ沢山絡もう私も自発頑張る 
え、じゃあちょっと行ってくるわ	私の所にも来てください
おみそさんの事紹介しようかな	私の写真は著作権フリーなんで
サブ端末に横瀬   	私が大退化します
いやいやまだ1年目よ	それなら私と同じだ️
こんにちわ   	私のガールたんはどこですか    
那我要收謝謝	無法私訊喔
まって繋がってるわwwwごめん	いよいよそんなに私と繋がりたいのね
あいめこさん好きー   	私もりらましさんがすーぴー 
大丈夫  	大丈夫 私は詐欺られてないよ 
そろそろ起きねば	私洗濯も終わったよww
ふと思った僕が一番仲良い人って誰だ、と	私だ
魂だけ一緒に連れて行っとく	私の魂にもうどん食べさせてあげてね
勉強で今日も楽しめないですねー笑笑	私もw
残念ながら、乗りませんです。	残念すぎます…私の涙を返してーw
ゑ 	私は何があっても可愛いとは認めんぞ
すずたんビックビックらぶ	待って私英語と日本語ごちゃまぜで草
おれ11やけど雨でも壊れたことない笑	私のやつめっちゃもろない WWWWW
やたあ ゆめちゃたくさん絡みに行くね	私もいく 
あ、しまった、昨日ハックしてない	私もです 
盗難怖いよね…GPSつけるか悩み中	つけよう私も導入しようと思う
べた雪おもたあい	残念ながら私は雪を見たことがない
ひまやけんあたまえ	暇人最高だね。私もいつでも暇なのだ
私の原風景の一つですw	こういう風景も私好きです 
もうだいすき	私は愛してます
  ️ 	ありがとう私も大好き
てかあすかもう1万ツイートいくやん	私あとちょっとで5000
あみちゃん、おはよー 次は撮りたい	おはようございます  私もです
まだですか  	私はやりません
まささんがいっぱい	あの踊ってるのは私だったのかwww
話していて楽しい楽しすぎて禿げるから	私も禿げる 
1から5まで食らいました死にたい	私たち何か悪いことしたかな  
甘い夜を 笑	私もよくわかりません笑
はにゃちゃってよぶねෆ⸒⸒	可愛い私はなゆたんって呼ぶ໒꒱
なんか居たら面白そう笑	まあ私は興味が全くないのだけど  おい
楽しみです。	私も月曜日から楽しみ 
あざっす マック買って帰ります	私のはポテトLで 
冤罪  www	冤罪です。私に人権を。
会お会お やったー 今から楽しみ   	私も楽しみ   
今日英検面接なので応援ください、、、	私もです  頑張りましょ  
それな	私のツイート見て
やってるよ	私もやってるんやが
そろそろ死ぬかな   	わ、私はまだ…し、死なないもん…
いまですか 	私がおしるこたべたら
JJかとおもってた	私もです
ありがとうございます‍️	素晴らしい私も鬼滅ロスです
顔出ししたらファン0になりそうw	私は残るよ たぶん 
そりゃあかんやつですねww	だって私やもんwww
